CHROM-BIN_START-BIN_END,PI EU,CHROM-BIN_START-BIN_END,PI EA,CHROM-BIN_START-BIN_END,PI ch,CHROM-BIN_START-BIN_END,PI pk,CHROM-BIN_START-BIN_END,PI sylv,CHROM-BIN_START-BIN_END,PI tril
A01-7425001-7525000,3.99E-05,A01-7225001-7325000,3.74E-07,A01-7425001-7525000,2.88E-05,A01-7475001-7575000,5.70E-05,A01-8600001-8700000,9.78E-06,A01-8450001-8550000,3.45E-06
A01-7450001-7550000,5.21E-05,A01-7375001-7475000,7.12E-06,A01-7450001-7550000,4.94E-05,A01-7500001-7600000,5.15E-05,A01-8625001-8725000,9.78E-06,A01-8475001-8575000,9.59E-06
A01-7475001-7575000,4.09E-05,A01-7400001-7500000,1.38E-05,A01-7475001-7575000,4.74E-05,A01-7525001-7625000,4.36E-05,A01-8650001-8750000,8.35E-06,A01-8500001-8600000,8.64E-06
A01-7500001-7600000,3.46E-05,A01-7425001-7525000,3.26E-05,A01-7500001-7600000,3.95E-05,A01-7550001-7650000,2.41E-05,A01-8675001-8775000,1.76E-06,A01-8525001-8625000,8.64E-06
A01-7525001-7625000,3.31E-05,A01-7450001-7550000,5.27E-05,A01-7525001-7625000,2.55E-05,A01-7575001-7675000,1.32E-05,A01-8725001-8825000,5.16E-06,A01-8550001-8650000,6.62E-06
A01-7550001-7650000,2.09E-05,A01-7475001-7575000,5.65E-05,A01-7550001-7650000,4.87E-06,A01-7600001-7700000,1.93E-05,A01-8750001-8850000,5.16E-06,A01-8575001-8675000,3.19E-06
A01-7575001-7675000,1.83E-05,A01-7500001-7600000,4.99E-05,A01-7575001-7675000,1.57E-06,A01-7625001-7725000,2.06E-05,A01-8775001-8875000,5.16E-06,A01-8600001-8700000,6.77E-06
A01-7600001-7700000,2.46E-05,A01-7525001-7625000,3.92E-05,A01-7600001-7700000,1.05E-05,A01-7650001-7750000,3.74E-05,A01-8800001-8900000,5.16E-06,A01-8625001-8725000,6.77E-06
A01-7625001-7725000,1.61E-05,A01-7550001-7650000,1.92E-05,A01-7625001-7725000,2.73E-05,A01-7675001-7775000,5.02E-05,A01-8950001-9050000,2.64E-06,A01-8650001-8750000,6.29E-06
A01-7650001-7750000,3.00E-05,A01-7575001-7675000,8.22E-06,A01-7650001-7750000,3.67E-05,A01-7700001-7800000,5.43E-05,A01-8975001-9075000,2.64E-06,A01-8675001-8775000,3.58E-06
A01-7675001-7775000,4.05E-05,A01-7600001-7700000,1.65E-05,A01-7675001-7775000,5.18E-05,A01-7725001-7825000,4.48E-05,A01-9000001-9100000,2.64E-06,A01-8725001-8825000,1.08E-05
A01-7700001-7800000,4.02E-05,A01-7625001-7725000,2.67E-05,A01-7700001-7800000,4.59E-05,A01-7750001-7850000,2.80E-05,A01-9025001-9125000,2.64E-06,A01-8750001-8850000,1.08E-05
A01-7725001-7825000,4.64E-05,A01-7650001-7750000,4.49E-05,A01-7725001-7825000,4.43E-05,A01-7775001-7875000,1.56E-05,A01-9075001-9175000,5.71E-06,A01-8775001-8875000,1.08E-05
A01-7750001-7850000,3.25E-05,A01-7675001-7775000,6.01E-05,A01-7750001-7850000,3.48E-05,A01-7800001-7900000,9.41E-06,A01-9100001-9200000,7.91E-06,A01-8800001-8900000,1.08E-05
A01-7775001-7875000,2.54E-05,A01-7700001-7800000,6.03E-05,A01-7775001-7875000,2.09E-05,A01-7825001-7925000,7.79E-06,A01-9125001-9225000,7.91E-06,A01-9075001-9175000,1.00E-05
A01-7800001-7900000,2.51E-05,A01-7725001-7825000,5.45E-05,A01-7800001-7900000,2.28E-05,A01-7850001-7950000,7.79E-06,A01-9150001-9250000,7.91E-06,A01-9100001-9200000,1.27E-05
A01-7825001-7925000,1.33E-05,A01-7750001-7850000,3.62E-05,A01-7825001-7925000,1.47E-05,A01-7875001-7975000,3.81E-05,A01-9175001-9275000,2.60E-05,A01-9125001-9225000,1.27E-05
A01-7850001-7950000,1.33E-05,A01-7775001-7875000,2.18E-05,A01-7850001-7950000,1.47E-05,A01-7900001-8000000,4.76E-05,A01-9200001-9300000,2.38E-05,A01-9150001-9250000,1.27E-05
A01-7875001-7975000,2.86E-05,A01-7800001-7900000,1.86E-05,A01-7875001-7975000,4.96E-05,A01-7925001-8025000,5.91E-05,A01-9225001-9325000,2.38E-05,A01-9175001-9275000,6.69E-05
A01-7900001-8000000,4.65E-05,A01-7825001-7925000,1.25E-05,A01-7900001-8000000,6.13E-05,A01-7950001-8050000,7.03E-05,A01-9250001-9350000,2.51E-05,A01-9200001-9300000,6.43E-05
A01-7925001-8025000,5.79E-05,A01-7850001-7950000,1.25E-05,A01-7925001-8025000,6.41E-05,A01-7975001-8075000,3.97E-05,A01-9275001-9375000,1.21E-06,A01-9225001-9325000,6.61E-05
A01-7950001-8050000,7.46E-05,A01-7875001-7975000,4.60E-05,A01-7950001-8050000,7.37E-05,A01-8000001-8100000,2.61E-05,A01-9300001-9400000,1.21E-06,A01-9250001-9350000,6.80E-05
A01-7975001-8075000,5.59E-05,A01-7900001-8000000,5.76E-05,A01-7975001-8075000,3.77E-05,A01-8025001-8125000,1.88E-05,A01-9325001-9425000,6.59E-06,A01-9275001-9375000,3.68E-06
A01-8000001-8100000,3.23E-05,A01-7925001-8025000,6.62E-05,A01-8000001-8100000,2.10E-05,A01-8050001-8150000,4.20E-05,A01-9350001-9450000,8.02E-06,A01-9300001-9400000,3.68E-06
A01-8025001-8125000,2.39E-05,A01-7950001-8050000,7.72E-05,A01-8025001-8125000,2.22E-05,A01-8075001-8175000,4.50E-05,A01-9375001-9475000,8.02E-06,A01-9325001-9425000,2.92E-06
A01-8050001-8150000,6.10E-05,A01-7975001-8075000,4.30E-05,A01-8050001-8150000,6.12E-05,A01-8100001-8200000,4.50E-05,A01-9400001-9500000,8.02E-06,A01-9350001-9450000,7.38E-06
A01-8075001-8175000,6.63E-05,A01-8000001-8100000,2.62E-05,A01-8075001-8175000,6.93E-05,A01-8125001-8225000,3.74E-05,A01-9425001-9525000,7.03E-06,A01-9375001-9475000,7.38E-06
A01-8100001-8200000,6.63E-05,A01-8025001-8125000,2.22E-05,A01-8100001-8200000,6.93E-05,A01-8150001-8250000,2.98E-06,A01-9450001-9550000,4.40E-06,A01-9400001-9500000,7.38E-06
A01-8125001-8225000,5.91E-05,A01-8050001-8150000,5.58E-05,A01-8125001-8225000,5.67E-05,A01-8325001-8425000,8.62E-06,A01-9475001-9575000,4.40E-06,A01-9425001-9525000,1.00E-05
A01-8150001-8250000,5.31E-06,A01-8075001-8175000,6.15E-05,A01-8150001-8250000,8.04E-06,A01-8350001-8450000,8.98E-06,A01-9500001-9600000,4.40E-06,A01-9450001-9550000,3.59E-06
A01-8325001-8425000,2.70E-05,A01-8100001-8200000,6.15E-05,A01-8325001-8425000,3.07E-05,A01-8375001-8475000,8.98E-06,A01-9575001-9675000,1.43E-06,A01-9475001-9575000,3.59E-06
A01-8350001-8450000,3.41E-05,A01-8125001-8225000,5.03E-05,A01-8350001-8450000,3.77E-05,A01-8400001-8500000,2.52E-05,A01-9600001-9700000,1.43E-06,A01-9500001-9600000,3.59E-06
A01-8375001-8475000,3.41E-05,A01-8150001-8250000,5.69E-06,A01-8375001-8475000,3.77E-05,A01-8425001-8525000,1.66E-05,A01-9625001-9725000,1.43E-06,A01-9575001-9675000,1.16E-05
A01-8400001-8500000,4.12E-05,A01-8325001-8425000,2.48E-05,A01-8400001-8500000,4.88E-05,A01-8450001-8550000,2.20E-05,A01-9650001-9750000,1.43E-06,A01-9600001-9700000,1.16E-05
A01-8425001-8525000,1.42E-05,A01-8350001-8450000,2.87E-05,A01-8425001-8525000,1.82E-05,A01-8475001-8575000,2.48E-05,A01-9775001-9875000,1.12E-05,A01-9625001-9725000,1.16E-05
A01-8450001-8550000,1.46E-05,A01-8375001-8475000,2.87E-05,A01-8450001-8550000,3.16E-05,A01-8500001-8600000,8.59E-06,A01-9800001-9900000,1.12E-05,A01-9650001-9750000,1.40E-05
A01-8475001-8575000,3.06E-05,A01-8400001-8500000,4.86E-05,A01-8475001-8575000,4.53E-05,A01-8525001-8625000,8.59E-06,A01-9825001-9925000,1.12E-05,A01-9675001-9775000,2.40E-06
A01-8500001-8600000,2.35E-05,A01-8425001-8525000,2.38E-05,A01-8500001-8600000,3.42E-05,A01-8550001-8650000,1.30E-05,A01-9850001-9950000,1.12E-05,A01-9700001-9800000,2.90E-06
A01-8525001-8625000,2.35E-05,A01-8450001-8550000,3.43E-05,A01-8525001-8625000,3.42E-05,A01-8575001-8675000,2.11E-05,A01-9925001-10025000,3.63E-06,A01-9725001-9825000,2.90E-06
A01-8550001-8650000,2.39E-05,A01-8475001-8575000,4.33E-05,A01-8550001-8650000,2.52E-05,A01-8600001-8700000,2.25E-05,A01-9950001-10050000,3.63E-06,A01-9750001-9850000,5.00E-07
A01-8575001-8675000,2.66E-05,A01-8500001-8600000,2.34E-05,A01-8575001-8675000,2.43E-05,A01-8625001-8725000,2.25E-05,A01-9975001-10075000,3.63E-06,A01-9775001-9875000,3.42E-06
A01-8600001-8700000,2.80E-05,A01-8525001-8625000,2.34E-05,A01-8600001-8700000,2.83E-05,A01-8650001-8750000,1.22E-05,A01-10000001-10100000,3.63E-06,A01-9800001-9900000,2.92E-06
A01-8625001-8725000,2.80E-05,A01-8550001-8650000,2.05E-05,A01-8625001-8725000,2.83E-05,A01-8675001-8775000,1.35E-06,A01-10200001-10300000,3.63E-06,A01-9825001-9925000,2.92E-06
A01-8650001-8750000,2.01E-05,A01-8575001-8675000,2.36E-05,A01-8650001-8750000,1.69E-05,A01-8725001-8825000,7.44E-06,A01-10225001-10325000,3.63E-06,A01-9850001-9950000,2.92E-06
A01-8675001-8775000,1.40E-06,A01-8600001-8700000,2.63E-05,A01-8675001-8775000,4.05E-06,A01-8750001-8850000,7.44E-06,A01-10250001-10350000,1.85E-05,A01-9875001-9975000,2.62E-06
A01-8725001-8825000,9.17E-06,A01-8625001-8725000,2.63E-05,A01-8725001-8825000,1.15E-05,A01-8775001-8875000,7.44E-06,A01-10275001-10375000,1.85E-05,A01-9900001-10000000,2.62E-06
A01-8750001-8850000,9.17E-06,A01-8650001-8750000,1.48E-05,A01-8750001-8850000,1.15E-05,A01-8800001-8900000,7.44E-06,A01-10300001-10400000,1.63E-05,A01-9925001-10025000,1.23E-05
A01-8775001-8875000,9.17E-06,A01-8675001-8775000,2.69E-06,A01-8775001-8875000,1.15E-05,A01-8950001-9050000,1.50E-05,A01-10325001-10425000,1.89E-05,A01-9950001-10050000,1.23E-05
A01-8800001-8900000,9.17E-06,A01-8725001-8825000,9.37E-06,A01-8800001-8900000,1.15E-05,A01-8975001-9075000,1.91E-05,A01-10350001-10450000,4.07E-06,A01-9975001-10075000,9.65E-06
A01-8950001-9050000,8.06E-06,A01-8750001-8850000,9.37E-06,A01-8950001-9050000,1.70E-05,A01-9000001-9100000,1.91E-05,A01-10375001-10475000,4.07E-06,A01-10000001-10100000,9.65E-06
A01-8975001-9075000,1.38E-05,A01-8775001-8875000,9.37E-06,A01-8975001-9075000,2.38E-05,A01-9025001-9125000,1.91E-05,A01-10400001-10500000,4.29E-06,A01-10050001-10150000,3.97E-07
A01-9000001-9100000,1.38E-05,A01-8800001-8900000,9.37E-06,A01-9000001-9100000,2.38E-05,A01-9050001-9150000,4.05E-06,A01-10425001-10525000,1.65E-06,A01-10075001-10175000,3.97E-07
A01-9025001-9125000,1.38E-05,A01-8950001-9050000,1.59E-05,A01-9025001-9125000,2.38E-05,A01-9075001-9175000,1.21E-05,A01-10450001-10550000,2.80E-05,A01-10100001-10200000,1.07E-05
A01-9050001-9150000,5.72E-06,A01-8975001-9075000,2.13E-05,A01-9050001-9150000,6.82E-06,A01-9100001-9200000,1.21E-05,A01-10475001-10575000,2.80E-05,A01-10125001-10225000,1.07E-05
A01-9075001-9175000,1.98E-05,A01-9000001-9100000,2.13E-05,A01-9075001-9175000,1.49E-05,A01-9125001-9225000,2.28E-05,A01-10500001-10600000,2.64E-05,A01-10150001-10250000,1.03E-05
A01-9100001-9200000,1.98E-05,A01-9025001-9125000,2.13E-05,A01-9100001-9200000,1.49E-05,A01-9150001-9250000,2.28E-05,A01-10525001-10625000,2.64E-05,A01-10175001-10275000,1.03E-05
A01-9125001-9225000,3.16E-05,A01-9050001-9150000,5.44E-06,A01-9125001-9225000,3.48E-05,A01-9175001-9275000,3.20E-05,A01-10550001-10650000,2.59E-05,A01-10225001-10325000,7.32E-06
A01-9150001-9250000,3.16E-05,A01-9075001-9175000,1.34E-05,A01-9150001-9250000,3.48E-05,A01-9200001-9300000,3.20E-05,A01-10575001-10675000,2.59E-05,A01-10250001-10350000,7.79E-06
A01-9175001-9275000,5.79E-05,A01-9100001-9200000,1.34E-05,A01-9175001-9275000,9.41E-05,A01-9225001-9325000,2.60E-05,A01-10600001-10700000,2.59E-05,A01-10275001-10375000,7.79E-06
A01-9200001-9300000,5.79E-05,A01-9125001-9225000,3.10E-05,A01-9200001-9300000,9.41E-05,A01-9250001-9350000,3.23E-05,A01-10625001-10725000,2.59E-05,A01-10300001-10400000,7.79E-06
A01-9225001-9325000,4.97E-05,A01-9150001-9250000,3.10E-05,A01-9225001-9325000,7.90E-05,A01-9275001-9375000,1.10E-05,A01-10700001-10800000,5.05E-06,A01-10325001-10425000,9.74E-07
A01-9250001-9350000,5.33E-05,A01-9175001-9275000,7.33E-05,A01-9250001-9350000,8.26E-05,A01-9300001-9400000,1.10E-05,A01-10725001-10825000,5.05E-06,A01-10350001-10450000,5.00E-07
A01-9275001-9375000,7.10E-06,A01-9200001-9300000,7.33E-05,A01-9275001-9375000,8.33E-06,A01-9325001-9425000,1.05E-05,A01-10750001-10850000,5.05E-06,A01-10375001-10475000,5.00E-07
A01-9300001-9400000,7.10E-06,A01-9225001-9325000,6.04E-05,A01-9300001-9400000,8.33E-06,A01-9350001-9450000,1.30E-05,A01-10775001-10875000,5.05E-06,A01-10400001-10500000,3.58E-06
A01-9325001-9425000,6.38E-06,A01-9250001-9350000,6.57E-05,A01-9325001-9425000,5.14E-06,A01-9375001-9475000,1.30E-05,A01-10875001-10975000,1.43E-06,A01-10425001-10525000,3.08E-06
A01-9350001-9450000,1.44E-05,A01-9275001-9375000,9.96E-06,A01-9350001-9450000,1.31E-05,A01-9400001-9500000,1.30E-05,A01-10900001-11000000,1.43E-06,A01-10450001-10550000,2.94E-05
A01-9375001-9475000,1.44E-05,A01-9300001-9400000,9.96E-06,A01-9375001-9475000,1.31E-05,A01-9425001-9525000,2.35E-05,A01-10925001-11025000,5.38E-06,A01-10475001-10575000,2.94E-05
A01-9400001-9500000,1.44E-05,A01-9325001-9425000,1.01E-05,A01-9400001-9500000,1.31E-05,A01-9450001-9550000,1.47E-05,A01-10950001-11050000,1.63E-05,A01-10500001-10600000,2.63E-05
A01-9425001-9525000,2.14E-05,A01-9350001-9450000,1.87E-05,A01-9425001-9525000,1.74E-05,A01-9475001-9575000,1.47E-05,A01-10975001-11075000,1.48E-05,A01-10525001-10625000,2.63E-05
A01-9450001-9550000,9.79E-06,A01-9375001-9475000,1.87E-05,A01-9450001-9550000,5.76E-06,A01-9500001-9600000,1.47E-05,A01-11000001-11100000,2.04E-05,A01-10550001-10650000,1.62E-05
A01-9475001-9575000,9.79E-06,A01-9400001-9500000,1.87E-05,A01-9475001-9575000,5.76E-06,A01-9575001-9675000,1.37E-05,A01-11025001-11125000,2.47E-05,A01-10575001-10675000,1.62E-05
A01-9500001-9600000,1.04E-05,A01-9425001-9525000,2.57E-05,A01-9500001-9600000,5.76E-06,A01-9600001-9700000,1.37E-05,A01-11050001-11150000,1.86E-05,A01-10600001-10700000,1.62E-05
A01-9525001-9625000,5.59E-07,A01-9450001-9550000,1.19E-05,A01-9575001-9675000,1.89E-05,A01-9625001-9725000,1.37E-05,A01-11075001-11175000,1.86E-05,A01-10625001-10725000,1.64E-05
A01-9550001-9650000,5.59E-07,A01-9475001-9575000,1.19E-05,A01-9600001-9700000,1.89E-05,A01-9650001-9750000,1.62E-05,A01-11100001-11200000,1.30E-05,A01-10650001-10750000,2.95E-07
A01-9575001-9675000,1.42E-05,A01-9500001-9600000,1.19E-05,A01-9625001-9725000,1.89E-05,A01-9675001-9775000,2.49E-06,A01-11125001-11225000,4.73E-06,A01-10675001-10775000,2.95E-07
A01-9600001-9700000,1.36E-05,A01-9575001-9675000,1.64E-05,A01-9650001-9750000,2.93E-05,A01-9700001-9800000,1.29E-05,A01-11300001-11400000,8.79E-06,A01-10700001-10800000,8.72E-06
A01-9625001-9725000,1.36E-05,A01-9600001-9700000,1.64E-05,A01-9675001-9775000,1.05E-05,A01-9725001-9825000,1.29E-05,A01-11325001-11425000,8.79E-06,A01-10725001-10825000,8.42E-06
A01-9650001-9750000,2.33E-05,A01-9625001-9725000,1.64E-05,A01-9700001-9800000,2.32E-05,A01-9750001-9850000,1.04E-05,A01-11350001-11450000,8.79E-06,A01-10750001-10850000,8.42E-06
A01-9675001-9775000,9.74E-06,A01-9650001-9750000,2.38E-05,A01-9725001-9825000,2.32E-05,A01-9775001-9875000,4.71E-05,A01-11375001-11475000,8.79E-06,A01-10775001-10875000,8.42E-06
A01-9700001-9800000,2.13E-05,A01-9675001-9775000,7.44E-06,A01-9750001-9850000,1.27E-05,A01-9800001-9900000,3.67E-05,A01-11575001-11675000,4.40E-06,A01-10875001-10975000,6.45E-06
A01-9725001-9825000,2.13E-05,A01-9700001-9800000,1.91E-05,A01-9775001-9875000,5.25E-05,A01-9825001-9925000,3.67E-05,A01-11600001-11700000,4.40E-06,A01-10900001-11000000,6.45E-06
A01-9750001-9850000,1.16E-05,A01-9725001-9825000,1.91E-05,A01-9800001-9900000,3.98E-05,A01-9850001-9950000,3.67E-05,A01-11625001-11725000,4.40E-06,A01-10925001-11025000,6.45E-06
A01-9775001-9875000,5.07E-05,A01-9750001-9850000,1.17E-05,A01-9825001-9925000,3.98E-05,A01-9875001-9975000,2.01E-05,A01-11650001-11750000,4.40E-06,A01-10950001-11050000,6.45E-06
A01-9800001-9900000,3.91E-05,A01-9775001-9875000,5.76E-05,A01-9850001-9950000,3.98E-05,A01-9900001-10000000,2.01E-05,A01-11750001-11850000,4.07E-06,A01-10975001-11075000,3.91E-06
A01-9825001-9925000,3.91E-05,A01-9800001-9900000,4.59E-05,A01-9875001-9975000,2.74E-05,A01-9925001-10025000,3.00E-05,A01-11775001-11875000,4.07E-06,A01-11000001-11100000,6.53E-06
A01-9850001-9950000,3.91E-05,A01-9825001-9925000,4.59E-05,A01-9900001-10000000,2.74E-05,A01-9950001-10050000,3.00E-05,A01-11800001-11900000,5.93E-06,A01-11025001-11125000,7.03E-06
A01-9875001-9975000,1.91E-05,A01-9850001-9950000,4.59E-05,A01-9925001-10025000,5.14E-05,A01-9975001-10075000,9.97E-06,A01-11825001-11925000,7.69E-06,A01-11050001-11150000,1.26E-05
A01-9900001-10000000,1.91E-05,A01-9875001-9975000,2.74E-05,A01-9950001-10050000,5.14E-05,A01-10000001-10100000,9.97E-06,A01-11850001-11950000,3.63E-06,A01-11075001-11175000,1.91E-05
A01-9925001-10025000,2.83E-05,A01-9900001-10000000,2.74E-05,A01-9975001-10075000,2.40E-05,A01-10050001-10150000,7.14E-07,A01-11875001-11975000,3.63E-06,A01-11100001-11200000,1.65E-05
A01-9950001-10050000,2.83E-05,A01-9925001-10025000,4.71E-05,A01-10000001-10100000,2.58E-05,A01-10075001-10175000,7.14E-07,A01-11900001-12000000,1.76E-06,A01-11125001-11225000,1.60E-05
A01-9975001-10075000,9.25E-06,A01-9950001-10050000,4.71E-05,A01-10025001-10125000,1.82E-06,A01-10100001-10200000,6.48E-06,A01-12050001-12150000,1.65E-06,A01-11150001-11250000,1.04E-05
A01-10000001-10100000,1.52E-05,A01-9975001-10075000,1.97E-05,A01-10050001-10150000,7.80E-06,A01-10125001-10225000,7.16E-06,A01-12075001-12175000,1.65E-06,A01-11300001-11400000,5.24E-06
A01-10025001-10125000,5.97E-06,A01-10000001-10100000,2.06E-05,A01-10075001-10175000,7.80E-06,A01-10150001-10250000,6.44E-06,A01-12100001-12200000,1.65E-06,A01-11325001-11425000,8.36E-06
A01-10050001-10150000,1.63E-05,A01-10025001-10125000,9.04E-07,A01-10100001-10200000,1.34E-05,A01-10175001-10275000,6.44E-06,A01-12125001-12225000,7.58E-06,A01-11350001-11450000,8.36E-06
A01-10075001-10175000,1.63E-05,A01-10050001-10150000,4.26E-06,A01-10125001-10225000,1.66E-05,A01-10200001-10300000,2.81E-06,A01-12150001-12250000,5.93E-06,A01-11375001-11475000,1.08E-05
A01-10100001-10200000,2.16E-05,A01-10075001-10175000,4.26E-06,A01-10150001-10250000,1.06E-05,A01-10225001-10325000,1.33E-05,A01-12175001-12275000,5.93E-06,A01-11400001-11500000,5.59E-06
A01-10125001-10225000,2.21E-05,A01-10100001-10200000,1.03E-05,A01-10175001-10275000,1.06E-05,A01-10250001-10350000,3.66E-05,A01-12200001-12300000,5.93E-06,A01-11425001-11525000,2.97E-06
A01-10150001-10250000,1.18E-05,A01-10125001-10225000,1.43E-05,A01-10200001-10300000,7.84E-06,A01-10275001-10375000,3.66E-05,A01-12325001-12425000,1.21E-06,A01-11450001-11550000,2.97E-06
A01-10175001-10275000,1.18E-05,A01-10150001-10250000,1.09E-05,A01-10225001-10325000,1.88E-05,A01-10300001-10400000,4.49E-05,A01-12350001-12450000,1.21E-06,A01-11475001-11575000,5.00E-07
A01-10200001-10300000,2.77E-06,A01-10175001-10275000,1.09E-05,A01-10250001-10350000,4.57E-05,A01-10325001-10425000,3.95E-05,A01-12375001-12475000,1.21E-06,A01-11500001-11600000,5.00E-07
A01-10225001-10325000,8.12E-06,A01-10200001-10300000,7.46E-06,A01-10275001-10375000,4.57E-05,A01-10350001-10450000,1.61E-05,A01-12400001-12500000,1.21E-06,A01-11575001-11675000,9.74E-07
A01-10250001-10350000,3.46E-05,A01-10225001-10325000,1.68E-05,A01-10300001-10400000,5.54E-05,A01-10375001-10475000,1.61E-05,A01-12500001-12600000,1.16E-05,A01-11600001-11700000,9.74E-07
A01-10275001-10375000,3.46E-05,A01-10250001-10350000,4.41E-05,A01-10325001-10425000,4.63E-05,A01-10400001-10500000,6.06E-06,A01-12525001-12625000,1.16E-05,A01-11625001-11725000,2.40E-06
A01-10300001-10400000,3.63E-05,A01-10275001-10375000,4.41E-05,A01-10350001-10450000,1.94E-05,A01-10425001-10525000,3.57E-07,A01-12550001-12650000,2.01E-05,A01-11650001-11750000,2.40E-06
A01-10325001-10425000,3.55E-05,A01-10300001-10400000,5.34E-05,A01-10375001-10475000,1.94E-05,A01-10450001-10550000,3.45E-06,A01-12575001-12675000,2.41E-05,A01-11675001-11775000,1.42E-06
A01-10350001-10450000,9.05E-06,A01-10325001-10425000,4.56E-05,A01-10400001-10500000,6.47E-06,A01-10475001-10575000,3.45E-06,A01-12600001-12700000,1.24E-05,A01-11700001-11800000,1.42E-06
A01-10375001-10475000,9.05E-06,A01-10350001-10450000,1.83E-05,A01-10425001-10525000,1.44E-06,A01-10500001-10600000,3.10E-06,A01-12625001-12725000,1.24E-05,A01-11750001-11850000,3.69E-06
A01-10400001-10500000,5.28E-06,A01-10375001-10475000,1.83E-05,A01-10450001-10550000,1.44E-06,A01-10525001-10625000,3.10E-06,A01-12650001-12750000,3.96E-06,A01-11775001-11875000,3.69E-06
A01-10425001-10525000,2.38E-07,A01-10400001-10500000,6.36E-06,A01-10475001-10575000,1.44E-06,A01-10550001-10650000,2.39E-06,A01-12975001-13075000,3.52E-06,A01-11800001-11900000,3.69E-06
A01-10450001-10550000,2.09E-05,A01-10425001-10525000,8.89E-07,A01-10550001-10650000,3.00E-06,A01-10575001-10675000,2.39E-06,A01-13000001-13100000,3.52E-06,A01-11825001-11925000,4.17E-06
A01-10475001-10575000,2.09E-05,A01-10450001-10550000,2.56E-06,A01-10575001-10675000,5.49E-06,A01-10600001-10700000,2.39E-06,A01-13025001-13125000,9.67E-06,A01-11850001-11950000,4.74E-07
A01-10500001-10600000,2.07E-05,A01-10475001-10575000,2.56E-06,A01-10600001-10700000,5.49E-06,A01-10625001-10725000,1.07E-05,A01-13050001-13150000,9.67E-06,A01-11875001-11975000,7.71E-06
A01-10525001-10625000,2.07E-05,A01-10500001-10600000,1.67E-06,A01-10625001-10725000,1.53E-05,A01-10650001-10750000,8.32E-06,A01-13075001-13175000,6.15E-06,A01-11900001-12000000,7.71E-06
A01-10550001-10650000,1.02E-05,A01-10525001-10625000,1.67E-06,A01-10650001-10750000,1.23E-05,A01-10675001-10775000,8.32E-06,A01-13100001-13200000,6.15E-06,A01-11925001-12025000,7.23E-06
A01-10575001-10675000,1.04E-05,A01-10550001-10650000,2.85E-06,A01-10675001-10775000,9.78E-06,A01-10700001-10800000,3.39E-05,A01-13225001-13325000,1.03E-05,A01-11950001-12050000,7.23E-06
A01-10600001-10700000,1.04E-05,A01-10575001-10675000,4.20E-06,A01-10700001-10800000,4.83E-05,A01-10725001-10825000,2.56E-05,A01-13250001-13350000,1.03E-05,A01-12050001-12150000,2.46E-06
A01-10625001-10725000,1.41E-05,A01-10600001-10700000,4.20E-06,A01-10725001-10825000,3.85E-05,A01-10750001-10850000,2.56E-05,A01-13275001-13375000,1.03E-05,A01-12075001-12175000,2.46E-06
A01-10650001-10750000,3.92E-06,A01-10625001-10725000,1.45E-05,A01-10750001-10850000,3.85E-05,A01-10775001-10875000,2.56E-05,A01-13300001-13400000,1.03E-05,A01-12100001-12200000,2.46E-06
A01-10675001-10775000,3.66E-06,A01-10650001-10750000,1.16E-05,A01-10775001-10875000,3.85E-05,A01-10825001-10925000,7.03E-06,A01-13600001-13700000,2.97E-06,A01-12125001-12225000,8.40E-06
A01-10700001-10800000,3.35E-05,A01-10675001-10775000,1.03E-05,A01-10825001-10925000,5.38E-06,A01-10850001-10950000,1.11E-05,A01-13625001-13725000,2.97E-06,A01-12150001-12250000,7.78E-06
A01-10725001-10825000,2.98E-05,A01-10700001-10800000,4.47E-05,A01-10850001-10950000,7.13E-06,A01-10875001-10975000,2.07E-05,A01-13650001-13750000,2.97E-06,A01-12175001-12275000,7.78E-06
A01-10750001-10850000,2.98E-05,A01-10725001-10825000,3.44E-05,A01-10875001-10975000,9.82E-06,A01-10900001-11000000,2.07E-05,A01-13675001-13775000,2.97E-06,A01-12200001-12300000,7.78E-06
A01-10775001-10875000,2.98E-05,A01-10750001-10850000,3.44E-05,A01-10900001-11000000,9.82E-06,A01-10925001-11025000,2.64E-05,A01-14000001-14100000,2.86E-06,A01-12225001-12325000,1.85E-06
A01-10825001-10925000,1.04E-06,A01-10775001-10875000,3.44E-05,A01-10925001-11025000,8.60E-06,A01-10950001-11050000,3.77E-05,A01-14025001-14125000,2.86E-06,A01-12325001-12425000,1.15E-05
A01-10850001-10950000,5.25E-06,A01-10825001-10925000,8.10E-06,A01-10950001-11050000,2.57E-05,A01-10975001-11075000,4.26E-05,A01-14050001-14150000,2.86E-06,A01-12350001-12450000,1.15E-05
A01-10875001-10975000,3.52E-05,A01-10850001-10950000,1.14E-05,A01-10975001-11075000,3.61E-05,A01-11000001-11100000,5.72E-05,A01-14075001-14175000,2.86E-06,A01-12375001-12475000,1.15E-05
A01-10900001-11000000,3.52E-05,A01-10875001-10975000,1.86E-05,A01-11000001-11100000,5.35E-05,A01-11025001-11125000,5.00E-05,A01-14100001-14200000,3.63E-06,A01-12400001-12500000,1.15E-05
A01-10925001-11025000,4.17E-05,A01-10900001-11000000,1.86E-05,A01-11025001-11125000,6.02E-05,A01-11050001-11150000,4.36E-05,A01-14125001-14225000,3.63E-06,A01-12425001-12525000,3.28E-06
